Species,1,2,3,4,5
CPRP,60.0444,,1115.5859,836.95,765.1921
CPRP,70.0651,,1161.28,864.2108,768.6046
CPRP,72.0808,,1280,871.46,771.4084
CPRP,74.06,,1280.33,956.2511,771.6079
CPRP,84.0808,,,960.5059,
CPRP,86.0964,,,960.76,
CPRP,87.0917,,,,
CPRP,88.0393,,,,
CPRP,100.0869,,,,
CPRP,101.1073,,,,
CPRP,102.055,,,,
CPRP,104.0528,,,,
CPRP,110.0713,,,,
CPRP,112.0869,,,,
CPRP,120.0808,,,,
CPRP,126.055,,,,
CPRP,126.0913,,,,
CPRP,129.1022,,,,
CPRP,130.0499,,,,
CPRP,138.0662,,,,
CPRP,148.0604,,,,
CPRP,199.119,,,,
CPRP,216.1455,,,,
CPRP,226.1299,,,,
CPRP,227.1139,,,,
CPRP,243.1339,,,,
CPRP,244.1404,,,,
CPRP,261.1445,,,,
CPRP,270.1561,,,,
CPRP,287.1826,,,,
CPRP,297.167,,,,
CPRP,298.151,,,,
CPRP,315.1775,,,,
CPRP,340.1867,,,,
CPRP,358.1973,,,,
CPRP,399.1987,,,,
CPRP,416.2252,,,,
CPRP,426.2096,,,,
CPRP,427.1936,,,,
CPRP,444.2201,,,,
CPRP,456.2201,,,,
CPRP,473.2467,,,,
CPRP,477.2456,,,,
CPRP,483.231,,,,
CPRP,484.215,,,,
CPRP,495.2562,,,,
CPRP,501.2416,,,,
CPRP,534.2671,,,,
CPRP,552.2776,,,,
CPRP,569.3042,,,,
CPRP,586.3307,,,,
CPRP,596.3151,,,,
CPRP,597.2991,,,,
CPRP,614.3257,,,,
CPRP,626.3257,,,,
CPRP,635.3148,,,,
CPRP,643.3522,,,,
CPRP,653.3253,,,,
CPRP,653.3365,,,,
CPRP,654.3206,,,,
CPRP,671.3471,,,,
CPRP,764.3573,,,,
CPRP,782.3679,,,,
CPRP,782.4268,,,,
CPRP,799.4533,,,,
CPRP,809.4377,,,,
CPRP,810.4217,,,,
CPRP,821.3788,,,,
CPRP,827.4482,,,,
CPRP,839.3894,,,,
CPRP,913.4672,,,,
CPRP,930.4938,,,,
CPRP,940.4781,,,,
CPRP,941.4622,,,,
CPRP,950.4214,,,,
CPRP,958.4887,,,,
CPRP,968.432,,,,
CPRP,970.4887,,,,
CPRP,987.5153,,,,
CPRP,997.4996,,,,
CPRP,998.4836,,,,
CPRP,1015.5102,,,,
CPRP,1097.4898,,,,
CPRP,1115.5004,,,,
CPRP,1126.5898,,,,
CPRP,1143.6164,,,,
CPRP,1153.6007,,,,
CPRP,1154.5113,,,,
CPRP,1154.5847,,,,
CPRP,1171.6113,,,,
CPRP,1172.5218,,,,
CPRP,1239.6739,,,,
CPRP,1256.7004,,,,
CPRP,1266.6848,,,,
CPRP,1267.6688,,,,
CPRP,1284.6953,,,,
CPRP,1310.6124,,,,
CPRP,1311.5964,,,,
CPRP,1328.623,,,,
CPRP,1352.7579,,,,
CPRP,1369.7845,,,,
CPRP,1379.7688,,,,
CPRP,1380.7529,,,,
CPRP,1397.7794,,,,
CPRP,1423.6965,,,,
CPRP,1423.7951,,,,
CPRP,1424.6805,,,,
CPRP,1440.8216,,,,
CPRP,1441.707,,,,
CPRP,1450.806,,,,
CPRP,1451.79,,,,
CPRP,1468.8165,,,,
CPRP,1510.8271,,,,
CPRP,1520.7492,,,,
CPRP,1521.7332,,,,
CPRP,1527.8536,,,,
CPRP,1537.838,,,,
CPRP,1538.7598,,,,
CPRP,1538.822,,,,
CPRP,1555.8486,,,,
CPRP,1621.7969,,,,
CPRP,1622.7809,,,,
CPRP,1623.9112,,,,
CPRP,1639.8075,,,,
CPRP,1640.9377,,,,
CPRP,1650.9221,,,,
CPRP,1651.9061,,,,
CPRP,1668.9326,,,,
CPRP,1720.8653,,,,
CPRP,1721.8493,,,,
CPRP,1738.8759,,,,
CPRP,1752.0061,,,,
CPRP,1769.0327,,,,
CPRP,1779.017,,,,
CPRP,1780.001,,,,
CPRP,1797.0276,,,,
CPRP,1821.913,,,,
CPRP,1822.897,,,,
CPRP,1839.0381,,,,
CPRP,1839.9236,,,,
CPRP,1856.0647,,,,
CPRP,1866.049,,,,
CPRP,1867.0331,,,,
CPRP,1884.0596,,,,
CPRP,1936.9399,,,,
CPRP,1937.9239,,,,
CPRP,1954.0651,,,,
CPRP,1954.9505,,,,
CPRP,1971.0916,,,,
CPRP,1981.076,,,,
CPRP,1982.06,,,,
CPRP,1999.0866,,,,
CPRP,2023.972,,,,
CPRP,2024.956,,,,
CPRP,2041.9825,,,,
CPRP,2055.1128,,,,
CPRP,2072.1393,,,,
CPRP,2082.1237,,,,
CPRP,2083.1077,,,,
CPRP,2100.1342,,,,
CPRP,2152.0669,,,,
CPRP,2153.0509,,,,
CPRP,2154.1812,,,,
CPRP,2170.0775,,,,
CPRP,2171.2077,,,,
CPRP,2181.1921,,,,
CPRP,2182.1761,,,,
CPRP,2199.2026,,,,
CPRP,2255.2289,,,,
CPRP,2265.151,,,,
CPRP,2266.135,,,,
CPRP,2272.2554,,,,
CPRP,2282.2398,,,,
CPRP,2283.1616,,,,
CPRP,2283.2238,,,,
CPRP,2300.2503,,,,
CPRP,2352.183,,,,
CPRP,2352.2816,,,,
CPRP,2353.167,,,,
CPRP,2369.3082,,,,
CPRP,2370.1936,,,,
CPRP,2379.2925,,,,
CPRP,2380.2765,,,,
CPRP,2397.3031,,,,
CPRP,2423.2201,,,,
CPRP,2424.2041,,,,
CPRP,2441.2307,,,,
CPRP,2465.3657,,,,
CPRP,2482.3922,,,,
CPRP,2492.3766,,,,
CPRP,2493.3606,,,,
CPRP,2510.3872,,,,
CPRP,2536.3042,,,,
CPRP,2537.2882,,,,
CPRP,2554.3148,,,,
CPRP,2621.4668,,,,
CPRP,2638.4933,,,,
CPRP,2648.4777,,,,
