m/z,z
513.2847,7
513.2849,7
513.285,7
513.5707,7
513.5708,7
513.5709,7
517.0008,7
517.0009,7
517.001,7
517.2868,7
517.287,7
549.1511,7
549.1512,7
549.1513,7
549.4371,7
549.4372,7
551.1537,7
551.1538,7
551.1545,7
551.4397,7
551.4404,7
703.6655,7
704.0947,7
704.8715,7
704.9462,7
705.3006,7
705.3754,7
706.0185,7
706.4477,7
710.9476,7
710.9492,7
710.9517,7
711.2341,7
711.3768,7
711.3783,7
711.3809,7
711.6633,7
712.3803,7
712.8094,7
717.1642,7
717.5933,7
724.8123,7
724.9613,7
725.2415,7
725.3905,7
726.1734,7
726.6026,7
726.9555,7
726.9568,7
727.0979,7
727.3847,7
727.3859,7
727.5271,7
745.1137,7
745.1139,7
745.1145,7
745.1146,7
745.1149,7
745.5429,7
745.5431,7
745.5437,7
745.5438,7
745.5441,7
749.2589,7
749.4012,7
749.4019,7
749.6881,7
749.8304,7
749.831,7
753.8312,7
753.9775,7
753.9784,7
754.2604,7
754.4066,7
754.4076,7
757.8259,7
758.255,7
761.1299,7
761.1302,7
761.559,7
761.5594,7
762.8384,7
762.8391,7
763.2676,7
763.2682,7
767.0586,7
767.4878,7
775.1155,7
775.5447,7
785.9896,7
785.9907,7
786.4188,7
786.4199,7
794.0107,7
794.1347,7
794.2788,7
794.4398,7
794.5639,7
794.708,7
802.2817,7
802.2818,7
802.2819,7
802.2823,7
802.2825,7
802.7108,7
802.7109,7
802.711,7
802.7111,7
802.7115,7
802.7116,7
805.5693,7
805.5695,7
805.5699,7
805.5706,7
805.5709,7
805.9984,7
805.9987,7
805.9991,7
805.9998,7
806.0001,7
816.0075,7
816.0079,7
816.0086,7
816.4367,7
816.4371,7
816.4378,7
826.4137,7
826.8428,7
831.0616,7
831.4908,7
858.5421,7
858.9713,7
866.0663,7
866.0665,7
866.4955,7
866.4957,7
892.1237,7
892.1238,7
892.1243,7
892.1261,7
892.1263,7
892.5529,7
892.553,7
892.5535,7
892.5552,7
892.5554,7
892.5555,7
894.4127,7
894.4128,7
894.5552,7
894.8419,7
894.842,7
894.9844,7
937.8326,7
937.9137,7
938.405,7
938.4861,7
949.4202,7
949.9926,7
973.229,7
973.3707,7
973.8013,7
973.9431,7
1009.1087,7
1009.1089,7
1009.1092,7
1009.6811,7
1009.6813,7
1009.6816,7
1019.3062,7
1019.8785,7
1024.5523,7
1025.1246,7
1026.978,7
1027.1183,7
1027.1187,7
1027.5504,7
1027.6907,7
1027.6911,7
1032.9709,7
1033.5433,7
1037.7448,7
1037.8886,7
1037.8889,7
1038.0304,7
1038.1739,7
1038.1759,7
1038.178,7
1038.3172,7
1038.4609,7
1038.4613,7
1038.6028,7
1038.7463,7
1038.7483,7
1038.7504,7
1040.1755,7
1040.176,7
1040.1775,7
1040.7479,7
1040.7483,7
1040.7499,7
1046.3819,7
1046.3829,7
1046.5244,7
1046.5247,7
1046.5249,7
1046.9543,7
1046.9553,7
1046.9574,7
1047.0968,7
1047.0971,7
1047.0973,7
1047.5297,7
1065.1591,7
1065.447,7
1065.7315,7
1066.0194,7
1076.1232,7
1076.1233,7
1076.1237,7
1076.1242,7
1076.6956,7
1076.6957,7
1076.6961,7
1076.6966,7
1097.2948,7
1097.295,7
1097.2953,7
1097.8672,7
1097.8674,7
1097.8677,7
1111.2895,7
1111.2902,7
1111.2909,7
1111.8619,7
1111.8626,7
1111.8633,7
1124.5831,7
1124.726,7
1124.7276,7
1124.7289,7
1125.1555,7
1125.2857,7
1125.2858,7
1125.2984,7
1125.3,7
1125.3013,7
1125.8581,7
1125.8582,7
1143.6875,7
1143.6876,7
1143.6877,7
1143.6878,7
1144.2599,7
1144.26,7
1144.2601,7
1144.2602,7
1163.3124,7
1163.3149,7
1164.028,7
1164.0305,7
1193.8159,7
1194.1034,7
1194.2475,7
1194.5331,7
1196.2486,7
1196.3894,7
1196.5325,7
1196.8178,7
1197.1039,7
1201.1248,7
1201.1257,7
1201.8404,7
1201.8413,7
1202.9792,7
1203.2614,7
1203.2627,7
1203.2646,7
1203.6948,7
1203.977,7
1203.9784,7
1203.9802,7
1204.9532,7
1205.27,7
1205.2733,7
1205.2734,7
1205.6688,7
1205.9857,7
1205.989,7
1206.6182,7
1206.6189,7
1206.6212,7
1206.9061,7
1207.3338,7
1207.3346,7
1207.3368,7
1207.6217,7
1207.6998,7
1207.7002,7
1207.7014,7
1207.9757,7
1208.4154,7
1208.4159,7
1208.417,7
1208.6913,7
1208.9834,7
1209.1248,7
1209.1253,7
1209.1255,7
1209.1267,7
1209.2635,7
1209.2678,7
1209.2681,7
1209.2682,7
1209.5563,7
1209.5588,7
1209.699,7
1209.8404,7
1209.8409,7
1209.8411,7
1209.8423,7
1209.9791,7
1209.9834,7
1209.9838,7
1209.9839,7
1210.272,7
1210.2745,7
1211.4127,7
1211.4133,7
1211.4134,7
1211.4136,7
1211.4137,7
1211.4139,7
1212.1283,7
1212.1289,7
1212.129,7
1212.1293,7
1212.1296,7
1213.7003,7
1213.7005,7
1213.7024,7
1213.7026,7
1213.8393,7
1213.8395,7
1213.8404,7
1213.8405,7
1214.4159,7
1214.4161,7
1214.418,7
1214.4182,7
1214.555,7
1214.5552,7
1214.556,7
1214.5561,7
1214.8423,7
1215.558,7
1215.9858,7
1215.9862,7
1215.9869,7
1215.9905,7
1216.1321,7
1216.1402,7
1216.2652,7
1216.7014,7
1216.7015,7
1216.7018,7
1216.7025,7
1216.7061,7
1216.8477,7
1216.8558,7
1216.9809,7
1223.6704,7
1223.6708,7
1223.671,7
1223.6712,7
1223.6717,7
1223.672,7
1223.8128,7
1223.8184,7
1224.386,7
1224.3865,7
1224.3866,7
1224.3868,7
1224.3873,7
1224.3876,7
1224.5284,7
1224.534,7
1259.4618,7
1259.463,7
1259.6089,7
