peptide,1,2,3,4,5
CPRP,60.04,30.53,20.69,15.77,12.82
CPRP,70.07,35.54,24.03,18.27,14.82
CPRP,72.08,36.54,24.7,18.78,15.22
CPRP,74.06,37.53,25.36,19.27,15.62
CPRP,84.08,42.54,28.7,21.78,17.62
CPRP,86.1,43.55,29.37,22.28,18.03
CPRP,87.09,44.05,29.7,22.53,18.22
CPRP,88.04,44.52,30.02,22.77,18.41
CPRP,100.09,50.55,34.03,25.78,20.82
CPRP,101.11,51.06,34.37,26.03,21.03
CPRP,102.06,51.53,34.69,26.27,21.22
CPRP,104.05,52.53,35.36,26.77,21.62
CPRP,110.07,55.54,37.36,28.27,22.82
CPRP,112.09,56.55,38.03,28.78,23.22
CPRP,120.08,60.54,40.7,30.78,24.82
CPRP,126.06,63.53,42.69,32.27,26.02
CPRP,126.09,63.55,42.7,32.28,26.02
CPRP,129.1,65.06,43.71,33.03,26.63
CPRP,130.05,65.53,44.02,33.27,26.82
CPRP,138.07,69.54,46.69,35.27,28.42
CPRP,148.06,74.53,50.03,37.77,30.42
CPRP,199.12,100.06,67.04,50.54,40.63
CPRP,216.15,108.58,72.72,54.79,44.04
CPRP,226.13,113.57,76.05,57.29,46.03
CPRP,227.11,114.06,76.38,57.53,46.23
CPRP,243.13,122.07,81.72,61.54,49.43
CPRP,244.14,122.57,82.05,61.79,49.63
CPRP,261.14,131.08,87.72,66.04,53.04
CPRP,270.16,135.58,90.72,68.29,54.84
CPRP,287.18,144.1,96.4,72.55,58.24
CPRP,297.17,149.09,99.73,75.05,60.24
CPRP,298.15,149.58,100.06,75.29,60.44
CPRP,315.18,158.09,105.73,79.55,63.84
CPRP,340.19,170.6,114.07,85.8,68.84
CPRP,358.2,179.6,120.07,90.31,72.45
CPRP,399.2,200.1,133.74,100.56,80.65
CPRP,416.23,208.62,139.41,104.81,84.05
CPRP,426.21,213.61,142.74,107.31,86.05
CPRP,427.19,214.1,143.07,107.55,86.24
CPRP,444.22,222.61,148.75,111.81,89.65
CPRP,456.22,228.61,152.75,114.81,92.05
CPRP,473.25,237.13,158.42,119.07,95.46
CPRP,477.25,239.13,159.75,120.07,96.26
CPRP,483.23,242.12,161.75,121.56,97.45
CPRP,484.22,242.61,162.08,121.81,97.65
CPRP,495.26,248.13,165.76,124.57,99.86
CPRP,501.24,251.12,167.75,126.07,101.05
CPRP,534.27,267.64,178.76,134.32,107.66
CPRP,552.28,276.64,184.76,138.83,111.26
CPRP,569.3,285.16,190.44,143.08,114.67
CPRP,586.33,293.67,196.12,147.34,118.07
CPRP,596.32,298.66,199.44,149.83,120.07
CPRP,597.3,299.15,199.77,150.08,120.27
CPRP,614.33,307.67,205.45,154.34,123.67
CPRP,626.33,313.67,209.45,157.34,126.07
CPRP,635.31,318.16,212.44,159.58,127.87
CPRP,643.35,322.18,215.12,161.59,129.48
CPRP,653.33,327.17,218.45,164.09,131.47
CPRP,653.34,327.17,218.45,164.09,131.47
CPRP,654.32,327.66,218.78,164.34,131.67
CPRP,671.35,336.18,224.45,168.59,135.08
CPRP,764.36,382.68,255.46,191.85,153.68
CPRP,782.37,391.69,261.46,196.35,157.28
CPRP,782.43,391.72,261.48,196.36,157.29
CPRP,799.45,400.23,267.16,200.62,160.7
CPRP,809.44,405.22,270.48,203.12,162.69
CPRP,810.42,405.71,270.81,203.36,162.89
CPRP,821.38,411.19,274.46,206.1,165.08
CPRP,827.45,414.23,276.49,207.62,166.3
CPRP,839.39,420.2,280.47,210.6,168.68
CPRP,913.47,457.24,305.16,229.12,183.5
CPRP,930.49,465.75,310.84,233.38,186.91
CPRP,940.48,470.74,314.16,235.88,188.9
CPRP,941.46,471.24,314.49,236.12,189.1
CPRP,950.42,475.71,317.48,238.36,190.89
CPRP,958.49,479.75,320.17,240.38,192.5
CPRP,968.43,484.72,323.48,242.86,194.49
CPRP,970.49,485.75,324.17,243.38,194.9
CPRP,987.52,494.26,329.84,247.63,198.31
CPRP,997.5,499.25,333.17,250.13,200.31
CPRP,998.48,499.75,333.5,250.38,200.5
CPRP,1015.51,508.26,339.18,254.63,203.91
CPRP,1097.49,549.25,366.5,275.13,220.3
CPRP,1115.5,558.25,372.51,279.63,223.91
CPRP,1126.59,563.8,376.2,282.4,226.12
CPRP,1143.62,572.31,381.88,286.66,229.53
CPRP,1153.6,577.3,385.21,289.16,231.53
CPRP,1154.51,577.76,385.51,289.38,231.71
CPRP,1154.58,577.8,385.53,289.4,231.72
CPRP,1171.61,586.31,391.21,293.66,235.13
CPRP,1172.52,586.76,391.51,293.89,235.31
CPRP,1239.67,620.34,413.9,310.67,248.74
CPRP,1256.7,628.85,419.57,314.93,252.15
CPRP,1266.68,633.85,422.9,317.43,254.14
CPRP,1267.67,634.34,423.23,317.67,254.34
CPRP,1284.7,642.85,428.9,321.93,257.75
CPRP,1310.61,655.81,437.54,328.41,262.93
CPRP,1311.6,656.3,437.87,328.65,263.13
CPRP,1328.62,664.82,443.55,332.91,266.53
CPRP,1352.76,676.88,451.59,338.95,271.36
CPRP,1369.78,685.4,457.27,343.2,274.76
CPRP,1379.77,690.39,460.59,345.7,276.76
CPRP,1380.75,690.88,460.92,345.94,276.96
CPRP,1397.78,699.39,466.6,350.2,280.36
CPRP,1423.7,712.35,475.24,356.68,285.55
CPRP,1423.8,712.4,475.27,356.7,285.57
CPRP,1424.68,712.84,475.57,356.93,285.74
CPRP,1440.82,720.91,480.95,360.96,288.97
CPRP,1441.71,721.36,481.24,361.18,289.15
CPRP,1450.81,725.91,484.27,363.46,290.97
CPRP,1451.79,726.4,484.6,363.7,291.16
CPRP,1468.82,734.91,490.28,367.96,294.57
CPRP,1510.83,755.92,504.28,378.46,302.97
CPRP,1520.75,760.88,507.59,380.94,304.96
CPRP,1521.73,761.37,507.92,381.19,305.15
CPRP,1527.85,764.43,509.96,382.72,306.38
CPRP,1537.84,769.42,513.28,385.22,308.37
CPRP,1538.76,769.88,513.59,385.45,308.56
CPRP,1538.82,769.91,513.61,385.46,308.57
CPRP,1555.85,778.43,519.29,389.72,311.98
CPRP,1621.8,811.4,541.27,406.21,325.17
CPRP,1622.78,811.89,541.6,406.45,325.36
CPRP,1623.91,812.46,541.98,406.73,325.59
CPRP,1639.81,820.41,547.27,410.71,328.77
CPRP,1640.94,820.97,547.65,410.99,328.99
CPRP,1650.92,825.96,550.98,413.49,330.99
CPRP,1651.91,826.46,551.31,413.73,331.19
CPRP,1668.93,834.97,556.98,417.99,334.59
CPRP,1720.87,860.94,574.29,430.97,344.98
CPRP,1721.85,861.43,574.62,431.22,345.18
CPRP,1738.88,869.94,580.3,435.47,348.58
CPRP,1752.01,876.51,584.67,438.76,351.21
CPRP,1769.03,885.02,590.35,443.01,354.61
CPRP,1779.02,890.01,593.68,445.51,356.61
CPRP,1780,890.5,594.01,445.76,356.81
CPRP,1797.03,899.02,599.68,450.01,360.21
CPRP,1821.91,911.46,607.98,456.23,365.19
CPRP,1822.9,911.95,608.3,456.48,365.39
CPRP,1839.04,920.02,613.68,460.52,368.61
CPRP,1839.92,920.47,613.98,460.74,368.79
CPRP,1856.06,928.54,619.36,464.77,372.02
CPRP,1866.05,933.53,622.69,467.27,374.02
CPRP,1867.03,934.02,623.02,467.51,374.21
CPRP,1884.06,942.53,628.69,471.77,377.62
CPRP,1936.94,968.97,646.32,484.99,388.19
CPRP,1937.92,969.47,646.65,485.24,388.39
CPRP,1954.07,977.54,652.03,489.27,391.62
CPRP,1954.95,977.98,652.32,489.49,391.8
CPRP,1971.09,986.05,657.7,493.53,395.02
CPRP,1981.08,991.04,661.03,496.02,397.02
CPRP,1982.06,991.53,661.36,496.27,397.22
CPRP,1999.09,1000.05,667.03,500.53,400.62
CPRP,2023.97,1012.49,675.33,506.75,405.6
CPRP,2024.96,1012.98,675.66,506.99,405.8
CPRP,2041.98,1021.5,681.33,511.25,409.2
CPRP,2055.11,1028.06,685.71,514.53,411.83
CPRP,2072.14,1036.57,691.38,518.79,415.23
CPRP,2082.12,1041.57,694.71,521.29,417.23
CPRP,2083.11,1042.06,695.04,521.53,417.43
CPRP,2100.13,1050.57,700.72,525.79,420.83
CPRP,2152.07,1076.54,718.03,538.77,431.22
CPRP,2153.05,1077.03,718.36,539.02,431.42
CPRP,2154.18,1077.59,718.73,539.3,431.64
CPRP,2170.08,1085.54,724.03,543.28,434.82
CPRP,2171.21,1086.11,724.41,543.56,435.05
CPRP,2181.19,1091.1,727.74,546.05,437.04
CPRP,2182.18,1091.59,728.06,546.3,437.24
CPRP,2199.2,1100.11,733.74,550.56,440.65
CPRP,2255.23,1128.12,752.41,564.56,451.85
CPRP,2265.15,1133.08,755.72,567.04,453.84
CPRP,2266.14,1133.57,756.05,567.29,454.03
CPRP,2272.26,1136.63,758.09,568.82,455.26
CPRP,2282.24,1141.62,761.42,571.32,457.25
CPRP,2283.16,1142.08,761.73,571.55,457.44
CPRP,2283.22,1142.12,761.75,571.56,457.45
CPRP,2300.25,1150.63,767.42,575.82,460.86
CPRP,2352.18,1176.6,784.73,588.8,471.24
CPRP,2352.28,1176.64,784.77,588.83,471.26
CPRP,2353.17,1177.09,785.06,589.05,471.44
CPRP,2369.31,1185.16,790.44,593.08,474.67
CPRP,2370.19,1185.6,790.74,593.3,474.84
CPRP,2379.29,1190.15,793.77,595.58,476.66
CPRP,2380.28,1190.64,794.1,595.83,476.86
CPRP,2397.3,1199.16,799.77,600.08,480.27
CPRP,2423.22,1212.11,808.41,606.56,485.45
CPRP,2424.2,1212.61,808.74,606.81,485.65
CPRP,2441.23,1221.12,814.42,611.06,489.05
CPRP,2465.37,1233.19,822.46,617.1,493.88
CPRP,2482.39,1241.7,828.14,621.35,497.28
CPRP,2492.38,1246.69,831.46,623.85,499.28
CPRP,2493.36,1247.18,831.79,624.1,499.48
CPRP,2510.39,1255.7,837.47,628.35,502.88
CPRP,2536.3,1268.66,846.11,634.83,508.07
CPRP,2537.29,1269.15,846.43,635.08,508.26
CPRP,2554.31,1277.66,852.11,639.33,511.67
CPRP,2621.47,1311.24,874.49,656.12,525.1
CPRP,2638.49,1319.75,880.17,660.38,528.5
CPRP,2648.48,1324.74,883.5,662.88,530.5
CPRP,2649.39,1325.2,883.8,663.1,530.68
CPRP,2649.46,1325.23,883.83,663.12,530.7
CPRP,2650.37,1325.69,884.13,663.35,530.88
CPRP,2666.49,1333.75,889.5,667.38,534.1
CPRP,2667.4,1334.2,889.8,667.61,534.29
CPRP,2678.49,1339.75,893.5,670.38,536.5
CPRP,2695.51,1348.26,899.18,674.63,539.91
CPRP,2705.5,1353.25,902.5,677.13,541.91
CPRP,2706.48,1353.75,902.83,677.38,542.1
CPRP,2723.51,1362.26,908.51,681.63,545.51
CPRP,2805.49,1403.25,935.84,702.13,561.9
CPRP,2806.47,1403.74,936.16,702.37,562.1
CPRP,2823.5,1412.25,941.84,706.63,565.51
CPRP,2825.56,1413.28,942.52,707.15,565.92
CPRP,2842.58,1421.8,948.2,711.4,569.32
CPRP,2852.57,1426.79,951.53,713.9,571.32
CPRP,2853.55,1427.28,951.86,714.14,571.52
CPRP,2862.51,1431.76,954.84,716.38,573.31
CPRP,2863.49,1432.25,955.17,716.63,573.51
CPRP,2870.58,1435.79,957.53,718.4,574.92
CPRP,2880.52,1440.76,960.85,720.89,576.91
CPRP,2954.6,1477.8,985.54,739.41,591.73
CPRP,2971.63,1486.32,991.21,743.66,595.13
CPRP,2981.61,1491.31,994.54,746.16,597.13
CPRP,2982.59,1491.8,994.87,746.4,597.33
CPRP,2993.55,1497.28,998.52,749.14,599.52
CPRP,2994.54,1497.77,998.85,749.39,599.71
CPRP,2999.62,1500.31,1000.55,750.66,600.73
CPRP,3011.56,1506.28,1004.53,753.65,603.12
CPRP,3011.62,1506.31,1004.55,753.66,603.13
CPRP,3028.65,1514.83,1010.22,757.92,606.54
CPRP,3038.63,1519.82,1013.55,760.41,608.53
CPRP,3039.62,1520.31,1013.88,760.66,608.73
CPRP,3056.64,1528.83,1019.55,764.92,612.13
CPRP,3140.66,1570.84,1047.56,785.92,628.94
CPRP,3149.65,1575.33,1050.56,788.17,630.74
CPRP,3150.64,1575.82,1050.88,788.41,630.93
CPRP,3157.69,1579.35,1053.24,790.18,632.34
CPRP,3167.66,1584.34,1056.56,792.67,634.34
CPRP,3167.67,1584.34,1056.56,792.67,634.34
CPRP,3168.66,1584.83,1056.89,792.92,634.54
CPRP,3185.68,1593.35,1062.57,797.18,637.94
CPRP,3206.67,1603.84,1069.56,802.42,642.14
